day;timestamp;product;bid_price_1;bid_volume_1;bid_price_2;bid_volume_2;bid_price_3;bid_volume_3;ask_price_1;ask_volume_1;ask_price_2;ask_volume_2;ask_price_3;ask_volume_3;mid_price;profit_and_loss
-1;0;PEARLS;9998;1;9995;30;;;10005;30;;;;;10001.5;0.0
-1;0;BANANAS;4893;1;4892;30;;;4899;30;;;;;4896.0;0.0
-1;100;PEARLS;9996;1;9995;30;;;10002;6;10004;1;10005;30;9999.0;-2.0
-1;100;BANANAS;4892;31;;;;;4896;7;4898;31;;;4894.0;-55.555664
-1;200;BANANAS;4892;22;;;;;4899;22;;;;;4895.5;-55.20459
-1;200;PEARLS;9996;1;9995;21;;;10004;1;10005;21;;;10000.0;-6.0
-1;300;PEARLS;9996;2;9995;23;;;9998;3;10004;2;10005;23;9997.0;-10.0
-1;300;BANANAS;4893;25;;;;;4899;2;4900;23;;;4896.0;-55.395996
-1;400;PEARLS;9998;5;9996;2;9995;23;10004;2;10005;23;;;10001.0;-18.0
-1;400;BANANAS;4894;5;4893;25;;;4899;25;;;;;4896.5;-55.662598
-1;500;PEARLS;10002;1;9996;2;9995;22;10004;2;10005;22;;;10003.0;-28.0
-1;500;BANANAS;4893;24;;;;;4899;24;;;;;4896.0;-326.99805
-1;600;BANANAS;4892;26;;;;;4897;9;4899;26;;;4894.5;-329.33594
-1;600;PEARLS;9996;2;9995;24;;;10002;9;10004;2;10005;24;9999.0;-26.0
-1;700;PEARLS;9998;7;9995;27;;;10005;27;;;;;10001.5;-34.0
-1;700;BANANAS;4892;7;4891;27;;;4898;27;;;;;4895.0;-328.14062
-1;800;PEARLS;9995;26;;;;;10005;26;;;;;10000.0;-48.0
-1;800;BANANAS;4891;26;;;;;4898;26;;;;;4894.5;-707.96094
-1;900;BANANAS;4892;2;4891;27;;;4898;29;;;;;4895.0;-701.0117
-1;900;PEARLS;9996;2;9995;27;;;10004;2;10005;27;;;10000.0;-48.0
-1;1000;BANANAS;4891;28;;;;;4897;2;4898;26;;;4894.0;-814.5
-1;1000;PEARLS;9996;2;9995;26;;;10004;2;10005;26;;;10000.0;-48.0
-1;1100;BANANAS;4891;25;;;;;4898;25;;;;;4894.5;-815.5078
-1;1100;PEARLS;9996;2;9995;23;;;10004;2;10005;23;;;10000.0;-48.0
-1;1200;PEARLS;9998;9;9996;2;9995;28;10004;2;10005;28;;;10001.0;-48.0
-1;1200;BANANAS;4892;9;4891;30;;;4898;30;;;;;4895.0;-820.84375
-1;1300;PEARLS;9996;1;9995;27;;;10004;1;10005;27;;;10000.0;-48.0
-1;1300;BANANAS;4891;1;4890;27;;;4892;4;4897;28;;;4891.5;-823.9531
-1;1400;BANANAS;4891;1;4890;24;;;4897;26;;;;;4894.0;-889.35156
-1;1400;PEARLS;9996;2;9995;24;;;10004;2;10005;24;;;10000.0;-48.0
-1;1500;PEARLS;10002;1;9996;2;9995;20;10004;2;10005;20;;;10003.0;-48.0
-1;1500;BANANAS;4896;1;4891;2;4890;20;4897;22;;;;;4896.5;-939.71875
-1;1600;PEARLS;9996;1;9995;22;;;10004;1;10005;22;;;10000.0;-48.0
-1;1600;BANANAS;4891;23;;;;;4897;23;;;;;4894.0;-997.6406
-1;1700;PEARLS;9995;27;;;;;10005;27;;;;;10000.0;-48.0
-1;1700;BANANAS;4890;27;;;;;4893;2;4897;27;;;4891.5;-1011.96094
-1;1800;BANANAS;4891;2;4890;25;;;4897;27;;;;;4894.0;-1009.08594
-1;1800;PEARLS;9996;2;9995;25;;;10004;2;10005;25;;;10000.0;-48.0
-1;1900;PEARLS;9996;2;9995;29;;;10004;2;10005;29;;;10000.0;-48.0
-1;1900;BANANAS;4890;31;;;;;4897;31;;;;;4893.5;-1114.6406
-1;2000;PEARLS;9996;1;9995;25;;;10002;7;10004;1;10005;25;9999.0;-48.0
-1;2000;BANANAS;4890;26;;;;;4895;7;4896;1;4897;25;4892.5;-1113.8906
-1;2100;PEARLS;9995;23;;;;;10005;23;;;;;10000.0;-48.0
-1;2100;BANANAS;4890;23;;;;;4897;23;;;;;4893.5;-1117.5859
-1;2200;BANANAS;4890;2;4889;30;;;4896;32;;;;;4893.0;-1122.9844
-1;2200;PEARLS;9996;2;9995;30;;;10004;2;10005;30;;;10000.0;-48.0
-1;2300;PEARLS;9996;2;9995;22;;;10004;2;10005;22;;;10000.0;-48.0
-1;2300;BANANAS;4890;2;4889;22;;;4896;24;;;;;4893.0;-1127.4297
-1;2400;PEARLS;9998;4;9996;2;9995;23;10004;2;10005;23;;;10001.0;-48.0
-1;2400;BANANAS;4894;3;4890;6;4889;23;4896;25;;;;;4895.0;-1151.7656
-1;2500;BANANAS;4890;21;;;;;4891;5;4896;1;4897;20;4890.5;-1145.0312
-1;2500;PEARLS;9996;1;9995;20;;;10004;1;10005;20;;;10000.0;-48.0
-1;2600;BANANAS;4889;25;;;;;4896;25;;;;;4892.5;-1139.1484
-1;2600;PEARLS;9995;25;;;;;10005;25;;;;;10000.0;-48.0
-1;2700;BANANAS;4890;10;4889;24;;;4896;25;;;;;4893.0;-1144.8438
-1;2700;PEARLS;9998;4;9996;1;9995;24;10004;1;10005;24;;;10001.0;-48.0
-1;2800;PEARLS;9998;5;9995;29;;;10005;29;;;;;10001.5;-48.0
-1;2800;BANANAS;4895;1;4891;5;4890;29;4897;29;;;;;4896.0;-1140.5547
-1;2900;BANANAS;4891;25;;;;;4897;25;;;;;4894.0;-1136.9766
-1;2900;PEARLS;10002;10;9996;2;9995;23;10004;2;10005;23;;;10003.0;-48.0
-1;3000;BANANAS;4891;31;;;;;4897;31;;;;;4894.0;-1137.8438
-1;3000;PEARLS;9996;2;9995;29;;;10004;2;10005;29;;;10000.0;-48.0
-1;3100;BANANAS;4891;27;;;;;4897;2;4898;26;;;4894.0;-1150.625
-1;3100;PEARLS;9996;2;9995;26;;;10004;2;10005;26;;;10000.0;-48.0
-1;3200;PEARLS;9996;2;9995;30;;;10002;6;10004;2;10005;30;9999.0;-48.0
-1;3200;BANANAS;4891;32;;;;;4896;6;4898;32;;;4893.5;-1145.7891
-1;3300;BANANAS;4891;28;;;;;4897;2;4898;26;;;4894.0;-1134.7656
-1;3300;PEARLS;9996;2;9995;26;;;10004;2;10005;26;;;10000.0;-48.0
-1;3400;BANANAS;4891;29;;;;;4897;2;4898;27;;;4894.0;-1137.7422
-1;3400;PEARLS;9996;2;9995;27;;;10004;2;10005;27;;;10000.0;-48.0
-1;3500;BANANAS;4891;30;;;;;4896;9;4897;2;4898;28;4893.5;-1141.4688
